"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Technocraft Industries (India) Limited","24461687","18267348","    74.68","6194339","0","     0.00","     0.00","20-Nov-2020 11:30:22","278382","24459951","1.14"
"Technofab Engineering Limited","10490000","5058026","    48.22","5431974","1221405","    24.15","    11.64","20-Nov-2020 11:30:27","1258963","10489993","12"
"Tera Software Limited","12511875","6010651","    48.04","6501224","3082420","    51.28","    24.64","20-Nov-2020 11:30:31","2997154","12449159","24.08"
"Texmaco Infrastructure & Holdings Limited","127426590","82553786","    64.79","44872804","738800","     0.89","     0.58","20-Nov-2020 11:30:17","2014923","126610591","1.59"
"Texmaco Rail & Engineering Limited","224859382","115927010","    51.56","108932372","738800","     0.64","     0.33","20-Nov-2020 11:30:28","14119910","223985529","6.3"
"Texmo Pipes and Products Limited","26320000","10039955","    38.15","16280045","0","     0.00","     0.00","20-Nov-2020 11:30:26","448878","26319884","1.71"
"Thangamayil Jewellery Limited","13719582","9468110","    69.01","4251472","1351780","    14.28","     9.85","20-Nov-2020 11:30:26","1610822","13719582","11.74"
"The Andhra Sugars Limited","27107078","12749407","    47.03","14357671","286624","     2.25","     1.06","20-Nov-2020 11:30:12","2252566","14586270","15.44"
"The Anup Engineering Limited","10208259","4253215","    41.66","5955044","0","     0.00","     0.00","20-Nov-2020 11:30:31","338656","10000323","3.39"
"The Byke Hospitality Ltd","40097800","18788282","    46.86","21309518","0","     0.00","     0.00","20-Nov-2020 11:30:30","2253797","39420478","5.72"
"The Federal Bank  Limited","1994674957","31732891","     1.59","1962942066","0","     0.00","     0.00","20-Nov-2020 11:30:05","111055574","1974566774","5.62"
"The Great Eastern Shipping Company Limited","146966484","43336248","    29.49","103630236","0","     0.00","     0.00","20-Nov-2020 11:30:21","2278759","144638942","1.58"
"The Hi-Tech Gears Limited","18768000","10438892","    55.62","8329108","0","     0.00","     0.00","20-Nov-2020 11:30:12","170689","18696296","0.91"
"The India Cements Limited","309897201","88162810","    28.45","221734391","23800000","    27.00","     7.68","20-Nov-2020 11:30:05","40378898","308929010","13.07"
"The Indian Hotels Company Limited","1189258445","484642250","    40.75","704616195","0","     0.00","     0.00","20-Nov-2020 11:30:10","10681951","1178651332","0.91"
"The Jammu & Kashmir Bank Limited","713450938","486425578","    68.18","227025360","0","     0.00","     0.00","20-Nov-2020 11:30:13","23989909","700525812","3.42"
"The Karnataka Bank Limited","310869689","0","     0.00","310869689","0",,"     0.00","20-Nov-2020 11:30:15","48723243","296210689","16.45"
"The Mandhana Retail Ventures Limited","22082609","6252318","    28.31","15830291","3240485","    51.83","    14.67","20-Nov-2020 11:30:31","1103624","22081095","5"
"The Motor & General Finance Limited","38727190","25998644","    67.13","12728546","0","     0.00","     0.00","20-Nov-2020 11:30:05","77220","36764180","0.21"
"The Orissa Minerals Development Company Limited","6000000","3000890","    50.01","2999110","0","     0.00","     0.00","20-Nov-2020 11:30:27","390346","5795040","6.74"
"The Phoenix Mills Limited","171683651","78214487","    45.56","93469164","0","     0.00","     0.00","20-Nov-2020 11:30:23","730467","171402154","0.43"
"The Ramco Cements Limited","235799277","100507560","    42.62","135291717","11532625","    11.47","     4.89","20-Nov-2020 11:30:05","3279583","225575369","1.45"
"The Ruby Mills Limited","16720000","12523420","    74.90","4196580","0","     0.00","     0.00","20-Nov-2020 11:30:08","160873","16667396","0.97"
"The Sandesh Limited","7569421","5663017","    74.81","1906404","0","     0.00","     0.00","20-Nov-2020 11:30:06","123127","7501609","1.64"
"The South Indian Bank Limited","1809722151","0","     0.00","1809722151","0",,"     0.00","20-Nov-2020 11:30:13","165681415","1735215524","9.55"
"The State Trading Corporation of India Limited","60000000","54000000","    90.00","6000000","0","     0.00","     0.00","20-Nov-2020 11:30:14","312924","59991117","0.52"
"The Tinplate Company of India Limited","104667638","78457640","    74.96","26209998","0","     0.00","     0.00","20-Nov-2020 11:30:02","2129790","103879516","2.05"
"The Ugar Sugar Works Limited","112500000","50878086","    45.22","61621914","0","     0.00","     0.00","20-Nov-2020 11:30:27","2143682","94139878","2.28"
"The United Nilgiri Tea Estates Company Limited","4996566","2487982","    49.79","2508584","0","     0.00","     0.00","20-Nov-2020 11:30:26","17169","4387982","0.39"
"The Western India Plywoods Limited","8487340","3478121","    40.98","5009219","349760","    10.06","     4.12","20-Nov-2020 11:30:31","123000","4084893","3.01"
"Themis Medicare Limited","9187992","6180399","    67.27","3007593","0","     0.00","     0.00","20-Nov-2020 11:30:22","74339","9053446","0.82"
"Thermax Limited","119156300","80396745","    67.47","38759555","0","     0.00","     0.00","20-Nov-2020 11:30:02","208649","118922890","0.18"
"Thiru Arooran Sugars Limited","11316724","6661939","    58.87","4654785","4425674","    66.43","    39.11","20-Nov-2020 11:30:11","4576466","10993779","41.63"
"Thirumalai Chemicals Limited","102388120","42856321","    41.86","59531799","0","     0.00","     0.00","20-Nov-2020 11:30:06","4626819","100612340","4.6"
"Thomas Cook  (India)  Limited","378275489","255509847","    67.55","122765642","0","     0.00","     0.00","20-Nov-2020 11:30:07","2813024","376020841","0.75"
"Thomas Scott (India) Limited","3390000","2306195","    68.03","1083805","0","     0.00","     0.00","20-Nov-2020 11:30:29","8557","3332132","0.26"
"Tide Water Oil Company (India) Limited","3484800","2081884","    59.74","1402916","0","     0.00","     0.00","20-Nov-2020 11:30:22","94298","3471050","2.72"
"Tijaria Polypipes Limited","28626579","18626172","    65.07","10000407","7087974","    38.05","    24.76","20-Nov-2020 11:30:28","7575031","28626559","26.46"
"Tilaknagar Industries Limited","125133765","68571668","    54.80","56562097","62550000","    91.22","    49.99","20-Nov-2020 11:30:27","65770960","124035544","53.03"
"Time Technoplast Limited","226146750","116088694","    51.33","110058056","40350000","    34.76","    17.84","20-Nov-2020 11:30:23","45481320","226141234","20.11"
"Times Guaranty Limited","8993149","6737399","    74.92","2255750","0","     0.00","     0.00","20-Nov-2020 11:30:16","22673","8066057","0.28"
"Timken India Limited","75218734","50999988","    67.80","24218746","0","     0.00","     0.00","20-Nov-2020 11:30:11","828307","73948280","1.12"
"Tirupati Forge Limited","11200000","6439680","    57.50","4760320","3096000","    48.08","    27.64","20-Nov-2020 11:30:31","3435828","11200000","30.68"
"Titagarh Wagons Limited","115606170","52836540","    45.70","62769630","0","     0.00","     0.00","20-Nov-2020 11:30:25","5109092","115497750","4.42"
"Titan Company Limited","887786160","469601920","    52.90","418184240","0","     0.00","     0.00","20-Nov-2020 11:30:04","38964638","877773201","4.44"
"Tokyo Plast International Limited","9501400","5816346","    61.22","3685054","0","     0.00","     0.00","20-Nov-2020 11:30:07","100527","8719750","1.15"
"Torrent Pharmaceuticals Limited","169222720","120564720","    71.25","48658000","0","     0.00","     0.00","20-Nov-2020 11:30:05","477923","168744490","0.28"
"Torrent Power Limited","480616784","257443318","    53.57","223173466","0","     0.00","     0.00","20-Nov-2020 11:30:21","1827198","468298078","0.39"
"Tourism Finance Corporation of India Limited","80716748","21991903","    27.25","58724845","0","     0.00","     0.00","20-Nov-2020 11:30:10","11391726","79369921","14.35"
"Transformers And Rectifiers (India) Limited","132564110","99299150","    74.91","33264960","22100000","    22.26","    16.67","20-Nov-2020 11:30:24","23826545","132564030","17.97"
"Transport Corporation of India Limited","76996400","51384393","    66.74","25612007","0","     0.00","     0.00","20-Nov-2020 11:30:16","593851","75567890","0.79"
"Transwarranty Finance Limited","24460568","13114927","    53.62","11345641","0","     0.00","     0.00","20-Nov-2020 11:30:22","159846","24427825","0.65"
"Tree House Education & Accessories Limited","42310724","8690069","    20.54","33620655","8642169","    99.45","    20.43","20-Nov-2020 11:30:28","10365041","42300720","24.5"
"Trent Limited","355487461","131550881","    37.01","223936580","0","     0.00","     0.00","20-Nov-2020 11:30:03","4718558","351839767","1.34"
"Trident Limited","5095955670","3661128805","    71.84","1434826865","0","     0.00","     0.00","20-Nov-2020 11:30:15","62063200","5071040950","1.22"
"Trigyn Technologies Limited","30785736","13701877","    44.51","17083859","0","     0.00","     0.00","20-Nov-2020 11:30:13","1034625","30706867","3.37"
"Triveni Engineering & Industries Limited","247945110","169462677","    68.35","78482433","0","     0.00","     0.00","20-Nov-2020 11:30:19","7912552","241626885","3.27"
"Triveni Turbine Limited","323305484","219142811","    67.78","104162673","0","     0.00","     0.00","20-Nov-2020 11:30:29","656872","323218649","0.2"
"Tube Investments of India Limited","187933615","89976189","    47.88","97957426","33200","     0.04","     0.02","20-Nov-2020 11:30:31","1059526","186822334","0.57"
"Tulsi Extrusions Limited","27494610","7114286","    25.88","20380324","3400000","    47.79","    12.37","20-Nov-2020 11:30:25","3542269","27493487","12.88"
"UCO Bank","9918340622","9367292970","    94.44","551047652","0","     0.00","     0.00","20-Nov-2020 11:30:16","15088408","9907881185","0.15"
"UFLEX Limited","72211486","31784239","    44.02","40427247","965000","     3.04","     1.34","20-Nov-2020 11:30:07","2245682","71794975","3.13"
"UFO Moviez India Limited","28350801","8656040","    30.53","19694761","2266417","    26.18","     7.99","20-Nov-2020 11:30:30","3597060","28329728","12.7"
"UPL Limited","764045456","213021012","    27.88","551024444","4100000","     1.92","     0.54","20-Nov-2020 11:30:17","6562916","757740197","0.87"
"Ucal Fuel Systems Limited","22113625","15553260","    70.33","6560365","1326000","     8.53","     6.00","20-Nov-2020 11:30:07","1799855","21991368","8.18"
"Ujaas Energy Limited","200290000","71776400","    35.84","128513600","0","     0.00","     0.00","20-Nov-2020 11:30:29","6662013","200289880","3.33"
"UltraTech Cement Limited","288626076","173118484","    59.98","115507592","0","     0.00","     0.00","20-Nov-2020 11:30:17","758449","285151425","0.27"
"Unichem Laboratories Limited","70405750","35861015","    50.93","34544735","0","     0.00","     0.00","20-Nov-2020 11:30:06","1326151","68341651","1.94"
"Union Bank of India","6406844355","5706660850","    89.07","700183505","0","     0.00","     0.00","20-Nov-2020 11:30:16","31236878","6390451602","0.49"
"Uniphos Enterprises Limited","69545849","50209695","    72.20","19336154","0","     0.00","     0.00","20-Nov-2020 11:30:17","386494","69022962","0.56"
"Uniply Industries Limited","167647400","31913270","    19.04","135734130","20316285","    63.66","    12.12","20-Nov-2020 11:30:22","7062608","165209465","4.27"
"Unitech Limited","2616301047","134257674","     5.13","2482043373","5001000","     3.72","     0.19","20-Nov-2020 11:30:05","91316767","2604217769","3.51"
"United Breweries Limited","264405149","152616785","    57.72","111788364","27781574","    18.20","    10.51","20-Nov-2020 11:30:25","28269474","262956633","10.75"
"United Drilling Tools Limited","20303126","15156660","    74.65","5146466","600000","     3.96","     2.96","20-Nov-2020 11:30:31","650486","19224461","3.38"
"United Spirits Limited","726638715","412410600","    56.76","314228115","4897335","     1.19","     0.67","20-Nov-2020 11:30:16","39591470","722464155","5.48"
"Unity Infraprojects Limited","120876802","72885284","    60.30","47991518","72863784","    99.97","    60.28","20-Nov-2020 11:30:20","74367067","120865546","61.53"
"Universal Cables Limited","34695381","21472949","    61.89","13222432","0","     0.00","     0.00","20-Nov-2020 11:30:07","649058","34258605","1.89"
"Usha Martin Education & Solutions Limited","26415811","11328540","    42.89","15087271","0","     0.00","     0.00","20-Nov-2020 11:30:27","344651","25830810","1.33"
"Usha Martin Limited","304742010","163171794","    53.54","141570216","79232864","    48.56","    26.00","20-Nov-2020 11:30:15","91849663","303735765","30.24"
"Uttam Galva Steels Limited","142260103","86331124","    60.69","55928979","0","     0.00","     0.00","20-Nov-2020 11:30:05","2812141","140881875","2"
"Uttam Sugar Mills Limited","38138120","28603585","    75.00","9534535","9484170","    33.16","    24.87","20-Nov-2020 11:30:20","9818125","37757025","26"
"Uttam Value Steels Limited","6608076335","3047361160","    46.12","3560715175","0","     0.00","     0.00","20-Nov-2020 11:30:30","128793246","6517521425","1.98"
"V-Mart Retail Limited","18173586","9232279","    50.80","8941307","25000","     0.27","     0.14","20-Nov-2020 11:30:29","71155","18173484","0.39"
"V.S.T Tillers Tractors Limited","8639528","4731790","    54.77","3907738","0","     0.00","     0.00","20-Nov-2020 11:30:28","151747","8518918","1.78"
"V2 Retail Limited","34105026","18286337","    53.62","15818689","0","     0.00","     0.00","20-Nov-2020 11:30:23","1639164","34034936","4.82"
"VA Tech Wabag Limited","62190428","13495522","    21.70","48694906","0","     0.00","     0.00","20-Nov-2020 11:30:27","4393141","62189762","7.06"
"VIP Clothing Limited","82596519","43745373","    52.96","38851146","0","     0.00","     0.00","20-Nov-2020 11:30:14","1804573","81367519","2.22"
"VIP Industries Limited","141317315","75544637","    53.46","65772678","0","     0.00","     0.00","20-Nov-2020 11:30:05","5532534","138548661","3.99"
"VLS Finance Limited","38662017","17650491","    45.65","21011526","0","     0.00","     0.00","20-Nov-2020 11:30:05","663556","35805473","1.85"
"VRL Logistics Limited","90343495","61480000","    68.05","28863495","0","     0.00","     0.00","20-Nov-2020 11:30:30","619609","90343439","0.69"
"VST Industries Limited","15441920","4965902","    32.16","10476018","0","     0.00","     0.00","20-Nov-2020 11:30:07","96948","15101261","0.64"
"Vadilal Industries Limited","7187830","4652156","    64.72","2535674","0","     0.00","     0.00","20-Nov-2020 11:30:28","564954","7011626","8.06"
"Vaibhav Global Limited","32464255","18976955","    58.45","13487300","0","     0.00","     0.00","20-Nov-2020 11:30:17","299072","32454422","0.92"
"Vakrangee Limited","1059405640","451353165","    42.60","608052475","0","     0.00","     0.00","20-Nov-2020 11:30:20","112333708","1058002616","10.62"
"Valecha Engineering Limited","22530025","4076676","    18.09","18453349","1211539","    29.72","     5.38","20-Nov-2020 11:30:20","585518","22168192","2.64"
"Value Industries Limited","39185675","18322416","    46.76","20863259","0","     0.00","     0.00","20-Nov-2020 11:30:04","284878","34968293","0.81"
"Vardhman Acrylics Limited","80363746","60249160","    74.97","20114586","0","     0.00","     0.00","20-Nov-2020 11:30:16","802800","80362326","1"
"Vardhman Holdings Limited","3191536","2390441","    74.90","801095","0","     0.00","     0.00","20-Nov-2020 11:30:18","129917","3141488","4.14"
"Vardhman Polytex Limited","22290957","13414652","    60.18","8876305","10931202","    81.49","    49.04","20-Nov-2020 11:30:11","11210256","21972677","51.02"
